STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,TOT,,7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,TOT,,5.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISR,Israel,JE_LMIS,Labour market insecurity,L,Value,TOT,,4.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,TOT,,6.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,TOT,,5.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,JE_LMIS,Labour market insecurity,L,Value,TOT,,5.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,,54,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CZE,Czechia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,3.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,6.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,2.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,25.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,2.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,1.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,4.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,6.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,9.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,5.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LVA,Latvia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,11.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,13.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,0.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ZAF,South Africa,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,35.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,HO_BASE,Dwellings without basic facilities,L,Value,TOT,,3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,HO_HISH,Housing expenditure,L,Value,TOT,,19.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,HO_HISH,Housing expenditure,L,Value,TOT,,20.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,HO_HISH,Housing expenditure,L,Value,TOT,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,HO_HISH,Housing expenditure,L,Value,TOT,,22.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CZE,Czechia,HO_HISH,Housing expenditure,L,Value,TOT,,23.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DNK,Denmark,HO_HISH,Housing expenditure,L,Value,TOT,,23.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,HO_HISH,Housing expenditure,L,Value,TOT,,23.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,HO_HISH,Housing expenditure,L,Value,TOT,,20.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,HO_HISH,Housing expenditure,L,Value,TOT,,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,HO_HISH,Housing expenditure,L,Value,TOT,,21.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,HO_HISH,Housing expenditure,L,Value,TOT,,19.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,HO_HISH,Housing expenditure,L,Value,TOT,,20.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,HO_HISH,Housing expenditure,L,Value,TOT,,22.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,HO_HISH,Housing expenditure,L,Value,TOT,,21.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,HO_HISH,Housing expenditure,L,Value,TOT,,14.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,TOT,,20.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,MEX,Mexico,HO_HISH,Housing expenditure,L,Value,TOT,,17.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,TOT,,19.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,TOT,,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,HO_HISH,Housing expenditure,L,Value,TOT,,17.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,HO_HISH,Housing expenditure,L,Value,TOT,,21.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,HO_HISH,Housing expenditure,L,Value,TOT,,19.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,TOT,,27.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,HO_HISH,Housing expenditure,L,Value,TOT,,21.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,HO_HISH,Housing expenditure,L,Value,TOT,,20.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,TOT,,21.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,HO_HISH,Housing expenditure,L,Value,TOT,,18.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,TOT,,23.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,HO_HISH,Housing expenditure,L,Value,TOT,,18.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHL,Chile,HO_HISH,Housing expenditure,L,Value,TOT,,18.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,HO_HISH,Housing expenditure,L,Value,TOT,,17,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LVA,Latvia,HO_HISH,Housing expenditure,L,Value,TOT,,20.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,RUS,Russia,HO_HISH,Housing expenditure,L,Value,TOT,,17.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVN,Slovenia,HO_HISH,Housing expenditure,L,Value,TOT,,18.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ZAF,South Africa,HO_HISH,Housing expenditure,L,Value,TOT,,18.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,HO_HISH,Housing expenditure,L,Value,TOT,,20.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,67,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,86,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,56,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,TOT,,3.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DNK,Denmark,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,85,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,88,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,74,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,76,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,69,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,74,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISL,Iceland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,85,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,76,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,73,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,77,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,82,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LUX,Luxembourg,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,87,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,MEX,Mexico,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,42,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,83,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,66,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,93,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,71,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,83,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVK,Slovak Republic,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,76,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,80,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,79,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHE,Switzerland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,86,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,59,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BRA,Brazil,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,45,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHL,Chile,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,41,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,79,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISR,Israel,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,80,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LVA,Latvia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,72,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,RUS,Russia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,64,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVN,Slovenia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,91,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ZAF,South Africa,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,40,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,,74,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,,81,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,,89,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,,66,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,,88,,A,,PC,Percentage,0,Units,,
